indicator,country,countryiso3code,date,value,indicator_code
"School enrollment, primary (% gross)",Armenia,ARM,2018,92.1345008167579,SE.PRM.ENRR
"School enrollment, primary (% gross)",Armenia,ARM,2017,93.0989957836376,SE.PRM.ENRR
"School enrollment, primary (% gross)",Armenia,ARM,2016,93.1108003536782,SE.PRM.ENRR
"School enrollment, primary (% gross)",Aruba,ABW,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Aruba,ABW,2024,107.716996929947,SE.PRM.ENRR
"School enrollment, primary (% gross)",Aruba,ABW,2023,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Aruba,ABW,2022,102.620727539062,SE.PRM.ENRR
"School enrollment, primary (% gross)",Aruba,ABW,2021,108.599510192871,SE.PRM.ENRR
"School enrollment, primary (% gross)",Aruba,ABW,2020,107.235336303711,SE.PRM.ENRR
"School enrollment, primary (% gross)",Aruba,ABW,2019,108.025001525879,SE.PRM.ENRR
"School enrollment, primary (% gross)",Aruba,ABW,2018,107.985168457031,SE.PRM.ENRR
"School enrollment, primary (% gross)",Aruba,ABW,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Aruba,ABW,2016,113.637463697967,SE.PRM.ENRR
"School enrollment, primary (% gross)",Australia,AUS,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Australia,AUS,2024,99.6071014404297,SE.PRM.ENRR
"School enrollment, primary (% gross)",Australia,AUS,2023,99.3657531738281,SE.PRM.ENRR
"School enrollment, primary (% gross)",Australia,AUS,2022,99.1329879760742,SE.PRM.ENRR
"School enrollment, primary (% gross)",Australia,AUS,2021,99.9291534423828,SE.PRM.ENRR
"School enrollment, primary (% gross)",Australia,AUS,2020,99.9011077880859,SE.PRM.ENRR
"School enrollment, primary (% gross)",Australia,AUS,2019,100.199699401855,SE.PRM.ENRR
"School enrollment, primary (% gross)",Australia,AUS,2018,100.398712158203,SE.PRM.ENRR
"School enrollment, primary (% gross)",Australia,AUS,2017,100.637657165527,SE.PRM.ENRR
"School enrollment, primary (% gross)",Australia,AUS,2016,101.180686950684,SE.PRM.ENRR
"School enrollment, primary (% gross)",Austria,AUT,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Austria,AUT,2024,101.308898925781,SE.PRM.ENRR
"School enrollment, primary (% gross)",Austria,AUT,2023,100.902870178223,SE.PRM.ENRR
"School enrollment, primary (% gross)",Austria,AUT,2022,100.77562713623,SE.PRM.ENRR
"School enrollment, primary (% gross)",Austria,AUT,2021,101.644119262695,SE.PRM.ENRR
"School enrollment, primary (% gross)",Austria,AUT,2020,101.560852050781,SE.PRM.ENRR
"School enrollment, primary (% gross)",Austria,AUT,2019,101.776290893555,SE.PRM.ENRR
